Time,Minutes,Position,Foresail,Staysail,Staysail2,Mainsail,Reef,Tank,Type,Auto,Comment
26-Mar-2026 18:52:25,,27 41.2985n 080 21.9703w,,,,,0,,,No,Drop all sails
26-Mar-2026 18:54:58,2.6,27 41.2985n 080 21.9703w,J1,,,,0,,,No,Hoist J1
26-Mar-2026 18:56:13,1.2,27 41.2985n 080 21.9703w,J1,,,,1,,,No,Reef 1
27-Mar-2026 14:59:06,1202.9,27 41.2982n 080 21.9698w,,,,,0,0,Other,No,New Driver
27-Mar-2026 20:22:54,323.8,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Driver: Blaine Davis
27-Mar-2026 20:23:05,0.2,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Tactician: Blaine Davis
27-Mar-2026 20:23:08,0.0,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Navigator: Jeremiah Blatz
27-Mar-2026 20:23:23,0.2,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Jib Trimmer: John Dennerlein
27-Mar-2026 20:23:28,0.1,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Main Trimmer: Anne-lise Perrin
27-Mar-2026 20:23:35,0.1,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Spinnaker: Melih Bagdatli
27-Mar-2026 20:23:47,0.2,27 41.2984n 080 21.9695w,,,,,,,Other,Yes,Driver: James Bistis
27-Mar-2026 20:24:42,0.9,27 41.2984n 080 21.9696w,,,,,,,Other,Yes,Driver: Melih Bagdatli
27-Mar-2026 20:24:49,0.1,27 41.2984n 080 21.9696w,,,,,,,Other,Yes,Spinnaker: John Dennerlein
28-Mar-2026 11:40:26,915.6,27 41.2989n 080 21.9698w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 11:49:31,9.1,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 11:50:22,0.9,27 41.2989n 080 21.9699w,J1,,,,1,,,No,Reef 1
28-Mar-2026 11:50:31,0.2,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Shake reef
28-Mar-2026 11:50:56,0.4,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 11:51:25,0.5,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Shake reef
28-Mar-2026 11:51:29,0.1,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Shake reef
28-Mar-2026 11:51:34,0.1,27 41.2989n 080 21.9699w,J1,,,,0,,,No,Shake reef
28-Mar-2026 11:51:35,0.0,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Shake reef
28-Mar-2026 11:51:38,0.1,27 41.2989n 080 21.9700w,J1,,,,1,,,No,Reef 1
28-Mar-2026 11:53:18,1.7,27 41.2989n 080 21.9700w,J1,,,,0,,,No,Shake reef
28-Mar-2026 12:02:28,9.2,27 41.2990n 080 21.9700w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 12:02:38,0.2,27 41.2990n 080 21.9700w,J1,,,,1,,,No,Reef 1
28-Mar-2026 12:02:47,0.1,27 41.2990n 080 21.9700w,J1,,,,0,,,No,Shake reef
28-Mar-2026 14:37:02,154.2,27 41.2985n 080 21.9700w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 14:40:50,3.8,27 41.2985n 080 21.9700w,,,,,,,Other,Yes,Driver: James Bistis
28-Mar-2026 14:41:08,0.3,27 41.2985n 080 21.9700w,,,,,,,Other,Yes,Spinnaker: Anne-lise Perrin
28-Mar-2026 16:44:11,123.0,27 41.2977n 080 21.9698w,J2,,,,0,,,No,Hoist J2
28-Mar-2026 16:44:16,0.1,27 41.2977n 080 21.9698w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 18:09:24,85.1,27 41.2984n 080 21.9702w,J2,,,,0,,,No,Hoist J2
28-Mar-2026 18:09:27,0.1,27 41.2984n 080 21.9702w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 18:25:31,16.1,27 41.2984n 080 21.9701w,J2,,,,0,,,No,Hoist J2
28-Mar-2026 18:30:12,4.7,27 41.2984n 080 21.9700w,J1,,,,0,,,No,Hoist J1
28-Mar-2026 18:30:25,0.2,27 41.2984n 080 21.9700w,J2,,,,0,,,No,Hoist J2
28-Mar-2026 18:31:37,1.2,27 41.2984n 080 21.9700w,,,,,,,Other,Yes,Driver: Blaine Davis
28-Mar-2026 18:31:55,0.3,27 41.2984n 080 21.9700w,,,,,,,Other,Yes,Driver: Anne-lise Perrin
28-Mar-2026 18:38:07,6.2,27 41.2984n 080 21.9698w,J2,,,,0,,,No,Hoist J2
28-Mar-2026 18:38:56,0.8,27 41.2984n 080 21.9698w,,,,,,,Other,Yes,Spinnaker: Melih Bagdatli
28-Mar-2026 18:42:34,3.6,27 41.2985n 080 21.9697w,,,,,,,Other,Yes,Main Trimmer: Blaine Davis
28-Mar-2026 18:48:39,6.1,27 41.2986n 080 21.9698w,J4,,,,0,,,No,Hoist J4
28-Mar-2026 19:14:25,25.8,27 41.2988n 080 21.9696w,J2,,,,1,,,No,Reef 1
28-Mar-2026 19:14:47,0.4,27 41.2988n 080 21.9696w,J2,,,,0,,,No,Shake reef
29-Mar-2026 10:49:18,934.5,27 41.2985n 080 21.9699w,J1,,,,0,,,No,Hoist J1
29-Mar-2026 10:49:21,0.1,27 41.2985n 080 21.9699w,J2,,,,0,,,No,Hoist J2
29-Mar-2026 10:49:31,0.2,27 41.2985n 080 21.9699w,A3,,,,0,,,No,Hoist A3
29-Mar-2026 10:49:33,0.0,27 41.2985n 080 21.9699w,A2,,,,0,,,No,Hoist A2
29-Mar-2026 10:49:38,0.1,27 41.2985n 080 21.9699w,A1,,,,0,,,No,Hoist A1
29-Mar-2026 14:21:14,211.6,27 41.2984n 080 21.9695w,,,,,,,Gun,Yes,
29-Mar-2026 19:44:52,323.6,27 41.2984n 080 21.9696w,J1,,,,0,,,No,Hoist J1
29-Mar-2026 21:03:50,79.0,27 41.2978n 080 21.9701w,J2,,,,0,,,No,Hoist J2
29-Mar-2026 21:03:53,0.1,27 41.2978n 080 21.9701w,J1,,,,0,,,No,Hoist J1
29-Mar-2026 21:03:56,0.0,27 41.2978n 080 21.9701w,J2R,,,,0,,,No,Hoist J2R
29-Mar-2026 21:04:04,0.1,27 41.2978n 080 21.9701w,J2R,,,,1,,,No,Reef 1
29-Mar-2026 21:04:06,0.0,27 41.2978n 080 21.9701w,J2R,,,,2,,,No,Reef 2
29-Mar-2026 21:04:14,0.1,27 41.2978n 080 21.9701w,J2R,,,,1,,,No,Reef 1
29-Mar-2026 21:11:31,7.3,27 41.2977n 080 21.9701w,A1,,,,0,,,No,Hoist A1
29-Mar-2026 21:12:38,1.1,27 41.2977n 080 21.9701w,A2,,,,0,,,No,Hoist A2
29-Mar-2026 21:12:41,0.1,27 41.2977n 080 21.9701w,A1,,,,0,,,No,Hoist A1
29-Mar-2026 21:12:43,0.0,27 41.2977n 080 21.9701w,A3,,,,0,,,No,Hoist A3
29-Mar-2026 21:12:45,0.0,27 41.2977n 080 21.9701w,A4,,,,0,,,No,Hoist A4
29-Mar-2026 21:12:50,0.1,27 41.2977n 080 21.9701w,C0,,,,0,,,No,Hoist C0
30-Mar-2026 11:39:55,867.1,27 41.2988n 080 21.9697w,,,,,,,Other,Yes,Driver: Blaine Davis
30-Mar-2026 21:44:25,604.5,27 41.2983n 080 21.9703w,,,,,,,Gun,Yes,
30-Mar-2026 22:05:35,21.2,27 41.2985n 080 21.9698w,,,,,,,Gun,Yes,
30-Mar-2026 22:24:27,18.9,27 41.2981n 080 21.9700w,,,,,,,Gun,Yes,
30-Mar-2026 22:49:27,25.0,27 41.2983n 080 21.9701w,,,,,,,Gun,Yes,
30-Mar-2026 23:04:02,14.6,27 41.2985n 080 21.9701w,,,,,,,Gun,Yes,
31-Mar-2026 07:17:02,493.0, ,,,,,,,Line port,Yes,
31-Mar-2026 08:36:13,79.2,27 41.2983n 080 21.9693w,,,,,,,Gun,Yes,
31-Mar-2026 15:49:16,433.0,27 41.2987n 080 21.9697w,,,,,,,Other,Yes,Race Driver: Blaine Davis
31-Mar-2026 17:24:40,95.4,27 41.2986n 080 21.9695w,,,,,,,Other,Yes,Race Driver: Blaine Davis
31-Mar-2026 17:24:44,0.1,27 41.2986n 080 21.9695w,,,,,,,Other,Yes,Jib Trimmer: Chris LaSala
31-Mar-2026 19:46:49,142.1,27 41.2984n 080 21.9693w,,,,,,,Other,Yes,Mast Man: Chris LaSala
31-Mar-2026 19:47:05,0.3,27 41.2984n 080 21.9692w,,,,,,,Other,Yes,Main Trimmer: John Dennerlein
31-Mar-2026 19:47:32,0.5,27 41.2984n 080 21.9692w,,,,,,,Other,Yes,Navigator: Jeremiah Blatz
31-Mar-2026 19:47:39,0.1,27 41.2984n 080 21.9693w,,,,,,,Other,Yes,Tactician: James Bistis
31-Mar-2026 19:48:05,0.4,27 41.2984n 080 21.9693w,,,,,,,Other,Yes,Spinnaker Trimmer: Anne-lise Perrin
01-Apr-2026 19:40:23,1432.3,27 41.2988n 080 21.9694w,,,,,,,Gun,Yes,
01-Apr-2026 20:41:36,61.2,27 41.2987n 080 21.9695w,,,,,,,Gun,Yes,
01-Apr-2026 20:43:04,1.5,27 41.2987n 080 21.9695w,,,,,,,Gun,Yes,
01-Apr-2026 20:46:16,3.2,27 41.2987n 080 21.9695w,,,,,,,Gun,Yes,
01-Apr-2026 20:49:20,3.1,27 41.2986n 080 21.9695w,,,,,,,Gun,Yes,
01-Apr-2026 20:49:37,0.3,27 41.2986n 080 21.9695w,,,,,,,Gun,Yes,
01-Apr-2026 20:54:46,5.1,27 41.2985n 080 21.9694w,,,,,,,Gun,Yes,
01-Apr-2026 21:04:17,9.5,27 41.2984n 080 21.9694w,,,,,,,Gun,Yes,
01-Apr-2026 21:06:26,2.2,27 41.2984n 080 21.9693w,,,,,,,Gun,Yes,
01-Apr-2026 21:30:43,24.3,27 41.2981n 080 21.9691w,,,,,,,Gun,Yes,
01-Apr-2026 21:34:26,3.7,27 41.2981n 080 21.9691w,,,,,,,Gun,Yes,
01-Apr-2026 21:46:58,12.5,27 41.2979n 080 21.9694w,,,,,,,Gun,Yes,
02-Apr-2026 07:09:35,562.6,27 41.2987n 080 21.9697w,,,,,,,Gun,Yes,
02-Apr-2026 07:13:02,3.4,27 41.2988n 080 21.9697w,,,,,,,Gun,Yes,
02-Apr-2026 08:17:21,64.3,27 41.2981n 080 21.9695w,,,,,,,Gun,Yes,
02-Apr-2026 08:29:33,12.2,27 41.2978n 080 21.9696w,,,,,,,Gun,Yes,
02-Apr-2026 08:44:24,14.8,27 41.2980n 080 21.9700w,,,,,,,Gun,Yes,
02-Apr-2026 08:56:49,12.4,27 41.2979n 080 21.9700w,,,,,,,Gun,Yes,
04-Apr-2026 18:08:32,3431.7,27 41.2980n 080 21.9696w,,,,,,,Gun,Yes,
04-Apr-2026 19:49:30,101.0,27 41.2986n 080 21.9695w,,,,,,,Other,Yes,Navigator: Jeremiah Blatz
04-Apr-2026 19:49:45,0.2,27 41.2986n 080 21.9695w,,,,,,,Other,Yes,Race Driver: James Bistis
04-Apr-2026 19:51:47,2.0,27 41.2987n 080 21.9696w,,,,,,,Other,Yes,Spinnaker Trimmer: Anne-lise Perrin
04-Apr-2026 19:53:47,2.0,27 41.2987n 080 21.9697w,,,,,,,Other,Yes,Race Driver: James Bistis
06-Apr-2026 00:04:11,1690.4,27 41.2987n 080 21.9701w,,,,,,,Gun,Yes,
06-Apr-2026 00:26:57,22.8,27 41.2994n 080 21.9696w,A1,,,,0,,,No,Hoist A1
06-Apr-2026 00:28:29,1.5,27 41.2994n 080 21.9696w,A2,,,,0,,,No,Hoist A2
06-Apr-2026 00:33:50,5.4,27 41.2995n 080 21.9694w,A1,,,,0,,,No,Hoist A1
06-Apr-2026 00:33:55,0.1,27 41.2995n 080 21.9694w,A2,,,,0,,,No,Hoist A2
06-Apr-2026 00:33:59,0.1,27 41.2995n 080 21.9694w,J2R,,,,0,,,No,Hoist J2R
06-Apr-2026 00:34:03,0.1,27 41.2995n 080 21.9694w,J2,,,,0,,,No,Hoist J2
06-Apr-2026 00:34:10,0.1,27 41.2995n 080 21.9694w,J4,,,,0,,,No,Hoist J4
06-Apr-2026 00:34:13,0.0,27 41.2995n 080 21.9694w,J2,,,,0,,,No,Hoist J2
06-Apr-2026 00:34:16,0.1,27 41.2995n 080 21.9694w,J2R,,,,0,,,No,Hoist J2R
06-Apr-2026 00:34:18,0.0,27 41.2995n 080 21.9694w,J2,,,,0,,,No,Hoist J2
06-Apr-2026 00:34:24,0.1,27 41.2995n 080 21.9694w,J2R,,,,0,,,No,Hoist J2R
06-Apr-2026 00:34:27,0.1,27 41.2995n 080 21.9694w,J4,,,,0,,,No,Hoist J4
06-Apr-2026 00:34:31,0.1,27 41.2995n 080 21.9694w,J2R,,,,0,,,No,Hoist J2R
06-Apr-2026 00:34:33,0.0,27 41.2995n 080 21.9694w,J4,,,,0,,,No,Hoist J4
06-Apr-2026 00:34:35,0.0,27 41.2995n 080 21.9694w,J2,,,,0,,,No,Hoist J2
06-Apr-2026 00:34:37,0.0,27 41.2995n 080 21.9694w,J2R,,,,0,,,No,Hoist J2R
06-Apr-2026 00:34:40,0.0,27 41.2995n 080 21.9694w,J2,,,,0,,,No,Hoist J2
08-Apr-2026 17:27:58,3893.3,27 41.2987n 080 21.9695w,,,,,,,Gun,Yes,
08-Apr-2026 18:40:37,72.7,27 41.2981n 080 21.9694w,,,,,,,MOB,Yes,Instrument
08-Apr-2026 18:40:37,0.0,27 41.2981n 080 21.9694w,,,,,,,MOB,Yes,MOB
10-Apr-2026 17:47:52,2827.2,27 41.2989n 080 21.9695w,,,,,,,Gun,Yes,
11-Apr-2026 06:07:22,739.5,27 41.2985n 080 21.9701w,,,,,,,Gun,Yes,
11-Apr-2026 18:46:40,759.3, ,,,,,,,Gun,Yes,
11-Apr-2026 19:58:58,72.3, ,,,,,,,Gun,Yes,
11-Apr-2026 20:24:31,25.6, ,,,,,,,Gun,Yes,
11-Apr-2026 20:25:56,1.4, ,,,,,,,Gun,Yes,
11-Apr-2026 20:29:08,3.2, ,,,,,,,Gun,Yes,
11-Apr-2026 21:13:25,44.3, ,,,,,,,Gun,Yes,
11-Apr-2026 23:01:00,107.6, ,,,,,,,Gun,Yes,
11-Apr-2026 23:08:09,7.2, ,,,,,,,Gun,Yes,
11-Apr-2026 23:25:06,17.0, ,,,,,,,Gun,Yes,
11-Apr-2026 23:29:23,4.3, ,,,,,,,Gun,Yes,
12-Apr-2026 11:48:19,738.9, ,,,,,,,Gun,Yes,
12-Apr-2026 11:51:36,3.3, ,,,,,,,Gun,Yes,
12-Apr-2026 14:05:13,133.6, ,,,,,,,Gun,Yes,
12-Apr-2026 14:24:05,18.9, ,,,,,,,Gun,Yes,
13-Apr-2026 15:06:51,1482.8, ,,,,,,,Gun,Yes,
13-Apr-2026 15:18:25,11.6, ,,,,,,,Gun,Yes,
13-Apr-2026 15:37:53,19.5, ,,,,,,,Gun,Yes,
13-Apr-2026 19:12:44,214.8, ,,,,,,,Gun,Yes,
13-Apr-2026 19:53:29,40.7, ,A1,,,,0,,,No,Hoist A1
13-Apr-2026 19:53:38,0.2, ,A1,,,,1,,,No,Reef 1
13-Apr-2026 19:53:42,0.1, ,A1,,,,0,,,No,Shake reef
13-Apr-2026 20:13:46,20.1, ,,,,,,,Gun,Yes,
02-May-2026 15:51:07,27097.3,27 41.2981n 080 21.9702w,,,,,,,Other,Yes,Jib Trimmer: Lawrence Lebogue
02-May-2026 15:51:12,0.1,27 41.2981n 080 21.9702w,,,,,,,Other,Yes,Driver: William Bligh
02-May-2026 15:51:17,0.1,27 41.2981n 080 21.9702w,,,,,,,Other,Yes,Tactician: Fletcher Christian
02-May-2026 15:51:23,0.1,27 41.2981n 080 21.9702w,,,,,,,Other,Yes,Main Trimmer: John Fryer
04-May-2026 08:21:50,2430.4,27 41.2984n 080 21.9696w,,,,,,,Gun,Yes,0.0%
04-May-2026 11:31:04,189.2,27 41.2984n 080 21.9697w,,,,,,,Gun,Yes,0.0%
