!Boat,Utc,BSP,AWA,AWS,TWA,TWS,TWD,RudderFwd,Leeway,Set,Drift,HDG,AirTemp,SeaTemp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FStayLen,MastButt,Load S,Load P,Rake,Volts,ROT,GpsMethod,PDOP,GpsNum,GpsAge,Altitude,GeoSep,GpsMode,Lat,Lon,COG,SOG,DiffStn,Error,RunnerS,RunnerP,Vang,Trav,Main,KeelAng,KeelHt,Board,EngOilPres,RPM 1,RPM 2,Board P,Board S,DistToLn,RchTmToLn,RchDtToLn,GPS time,TWD+90,TWD-90,Downhaul2,Mk Lat,Mk Lon,Port lat,Port lon,Stbd lat,Stbd lon,HPE,RH,Lead P,Lead S,BackStay,Reefs,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,User 25,User 26,User 27,User 28,User 29,User 30,User 31,TmToGun,TmToLn,Burn,BelowLn,GunBlwLn,WvSigHt,WvSigPd,WvMaxHt,WvMaxPd,GPS tOffset,Heave,MWA,MWS,Boom,Twist,TWDTwisted,TackLossT,TackLossD,TrimRate,HeelRate,DeflectorP,RudderP,RudderS,RudderToe,BspTr,FStayInner,DeflectorS,Bobstay,Outhaul,D0 P,D0 S,D1 P,D1 S,V0 P,V0 S,V1 P,V1 S,BoomAng,Cunningham,FStayInHal,JibFurl,JibH,MastCant,J1,J2,J3,J4,Foil P,Foil S,Reacher,Blade,Staysail,Solent,Tack,TackP,TackS,DeflectU,DeflectL,WinchP,WinchS,SpinP,SpinS,MainH,Mast2,DepthAft,Burn%,GunBspTarg%,GunBspPol%,EngTemp,EngOilTemp,TranOilTemp,TranOilPres,FuelLev,Current,Charge%,TWG,TWDG,DewPt,FStay+Tack,Gradient,TWSGradient,Rud Ptch P,Rud Ptch S,WaterLev,WaterLev2,FuelLev2,CANLoad%,FastPkErr,Volt 1,Volt 2,Volt 3,Volt 4,Current1,Current2,Current3,Current4,Charge1%,Charge2%,Charge3%,Charge4%,CalROT,CalBrake,CalAccel,TWDmin,TWDmax,PredSeaTemp
!boat,0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,39,41,43,44,45,46,47,48,49,50,51,52,60,61,62,67,68,69,71,72,73,74,75,76,77,78,84,85,86,146,147,148,151,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,252,253,254,255,256,257,258,259,260,268,272,273,274,277,278,281,282,283,284,285,286,291,292,293,294,295,296,297,298,299,300,301,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,351,352,354,355,359,360,361,362,363,364,365,368,369,370,371,372,373,374,375,379,380,381,382,383,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,411,412,413
!v12.7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16666,1,0,2,-76,3,0,4,0,5,0,6,189.1,10,63.75,13,23,14,24.2,15,25.7,16,1014.2,17,16.95,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.5,46,-29.94,47,2,48,27.6882967,49,-80.3661667,50,125.4,51,0,71,63.75,74,10.142,146,46145.16667,147,279.1,148,99.1,167,1.5,168,74.2,256,-0.00001,272,189.1,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0,374,63.75,375,63.75,411,198.1,412,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16667,1,0,2,-60.5,3,0,4,0,5,0,6,189.3,10,63.75,13,23,14,24.2,15,25.7,16,1014.2,17,17.1,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.5,46,-29.94,47,2,48,27.6882967,49,-80.3661667,50,125.6,51,0,71,63.75,74,10.142,146,46145.16668,147,279.3,148,99.3,167,1.5,168,74.2,256,-0.00001,272,189.3,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0,374,63.75,375,63.75,411,189.1,412,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16668,1,0,2,-45.2,3,0.58,4,-105.2,5,0.58,6,84.7,10,63.75,13,22.6,14,24.2,15,25.7,16,1014.2,17,17.28,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.5,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,126.2,51,0,71,63.75,74,10.142,146,46145.16669,147,174.7,148,354.7,167,1.5,168,74.2,256,-0.00001,272,84.7,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0.58,374,63.75,375,63.75,411,189.1,412,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.1667,1,0,2,-18.7,3,0.19,4,-78.7,5,0.19,6,111.4,10,63.75,13,22.6,14,24.2,15,25.6,16,1014.2,17,18.71,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.5,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,126.4,51,0,71,63.75,74,10.142,146,46145.1667,147,201.4,148,21.4,167,1.5,168,74.2,256,-0.00001,272,111.4,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0.19,374,63.75,375,63.75,411,189.1,412,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16671,2,12.1,3,0,4,0,5,0,6,189.5,10,63.75,13,22.6,14,24.2,15,25.6,16,1014.2,17,20.73,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.49,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,125.8,51,0,71,63.75,74,10.142,146,46145.1667,147,279.5,148,99.5,167,1.5,168,74.2,256,-0.000004,272,189.5,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0,374,63.75,375,63.75,411,1.4,412,198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16672,2,46.2,3,0.5,4,-13.8,5,0.5,6,176.8,10,63.75,13,22.6,14,24.2,15,25.6,16,1014.2,17,21.18,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.49,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,126.9,51,0,71,63.75,74,10.142,146,46145.16671,147,266.8,148,86.8,167,1.5,168,74.2,256,-0.000003,272,176.8,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0.5,374,63.75,375,63.75,411,1.4,412,198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16673,1,0,2,53.8,3,0.19,4,-6.2,5,0.19,6,184.1,10,63.75,13,22.6,14,24.2,15,25.6,16,1014.3,17,20.21,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.49,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,126.6,51,0,71,63.75,74,10.143,146,46145.16674,147,274.1,148,94.1,167,1.5,168,74.2,256,-0.00001,272,184.1,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.143,370,19.3,373,0.19,374,63.75,375,63.75,411,1.4,412,198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16674,1,0,2,25.1,3,0.19,4,-34.9,5,0.19,6,154.9,10,63.75,13,22.6,14,24.2,15,25.7,16,1014.3,17,21.45,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.49,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,126.1,51,0,71,63.75,74,10.143,146,46145.16675,147,244.9,148,64.9,167,1.5,168,74.2,256,-0.00001,272,154.9,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.143,370,19.3,373,0.19,374,63.75,375,63.75,411,1.4,412,198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16676,1,0,2,-11.2,3,0.58,4,-71.2,5,0.58,6,118.7,10,63.75,13,22.6,14,24.2,15,25.7,16,1014.2,17,19.42,18,63.75,19,63.75,20,63.75,24,63.75,39,2,41,0.4,43,30,45,-22.49,46,-29.94,47,2,48,27.688295,49,-80.3661667,50,126.2,51,0,71,63.75,74,10.142,146,46145.16676,147,208.7,148,28.7,167,1.5,168,74.2,256,-0.000004,272,118.7,282,63.75,283,63.75,284,0,327,63.75,328,63.75,359,24.2,360,24.2,361,24.2,362,10.142,370,19.3,373,0.58,374,63.75,375,63.75,411,1.4,412,198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46145.16677,1,0,2,-42.8,3,0.19,4,-102.8,5,0.19,6,87.1,13,22.6,15,25.7,17,19.42,48,27.688295,49,-80.3661667,50,126.2,51,0,146,46145.16677,147,177.1,148,357.1,167,1.5,256,-0.000011,272,87.1,373,0.19,411,1.4,412,198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
