stationId,name,dataSourceType,datasetId,latitude,longitude,imageUrl
44025,"LONG ISLAND - 30 NM South of Islip, NY",NDBC (NERACOOS),,,,
44065,NY Harbor Approach (Ambrose Light),NDBC (NERACOOS),,,,
44008,"Nantucket Shoals LB ""N""",NDBC (CoastWatch),,,,
44009,"DELAWARE BAY 26 NM Southeast of Cape May, NJ",NDBC (CoastWatch),,,,
41009,"CANAVERAL 20 NM East of Cape Canaveral, FL",NDBC (CoastWatch),,,,
44014,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",NDBC (CoastWatch),,,,
44099,"Cape Henry, VA",NDBC (CoastWatch),,,,
41068,"Fort Pierce, FL",NDBC (CoastWatch),,,,
41122,"Hollywood Beach, FL",NDBC (CoastWatch),,,,
ROBN4,"Robbins Reef, NY",NDBC (CoastWatch),,,,
KPTN6,"Kings Point, NY",NDBC (NERACOOS),,,,
BRHC3,"Bridgeport, CT",NDBC (NERACOOS),,,,
NWHC3,"New Haven, CT",NDBC (NERACOOS),,,,
CLIS,Central Sound,LISICOS (Image),,41.209,-72.509,https://clydebank.dms.uconn.edu/clis_wxSens1.png
EXRX,Execution Rocks,LISICOS (Image),,40.879,-73.742,https://clydebank.dms.uconn.edu/exrx_wxSens2.png
WLIS,Western Sound,LISICOS (Image),,41.045,-73.443,https://clydebank.dms.uconn.edu/wlis_wxSens1.png
ARTG,ARTG Buoy,LISICOS (Image),,41.168,-72.66,https://clydebank.dms.uconn.edu/artg_wxSens1.png
LEDG,Ledge Light,LISICOS (Image),,41.305,-72.079,https://clydebank.dms.uconn.edu/ledg_wx.png
LKWF1,Lake Worth Pier,NOS (SECOORA),noaa_nos_co_ops_8722670,,,
PEGF1,Port Everglades,NOS (SECOORA),noaa_nos_co_ops_8722956,,,
VAKF1,Virginia Key,NOS (SECOORA),noaa_nos_co_ops_8723214,,,
VCAF1,Vaca Key,NOS (SECOORA),noaa_nos_co_ops_8723970,,,
