stationId,name,dataSourceType
ROBN4,"Robbins Reef, NY",NDBC (CoastWatch)
44065,New York Harbor,NDBC (CoastWatch)
44024,Buoy N01 - Northeast Channel,NDBC (CoastWatch)
44025,Long Island,NDBC (CoastWatch)
44026,Station 44026,NDBC (CoastWatch)
44017,"Montauk Point, NY",NDBC (CoastWatch)
44008,"Nantucket, MA",NDBC (CoastWatch)
44013,"Boston, MA",NDBC (CoastWatch)
44018,"Cape Cod, MA",NDBC (CoastWatch)
44009,Delaware Bay,NDBC (Tidewatch)
44014,"Virginia Beach, VA",NDBC (CoastWatch)
44099,"Cape Henlopen, DE",NDBC (CoastWatch)
41009,"Canaveral (20NM East of Cape Canaveral, FL)",NDBC (CoastWatch)
41068,Fort Pierce,NDBC (CoastWatch)
41122,Hollywood Beach,NDBC (CoastWatch)
LKWF1,Lake Worth Pier,NOS (SECOORA)
PEGF1,Port Everglades,NOS (SECOORA)
VAKF1,Virginia Key,NOS (SECOORA)
VCAF1,Vaca Key,NOS (SECOORA)
