MMSI,NAME,SAILNO,PHRF-NON-SPIN-W/L,PHRF-NON-SPIN-DISTANCE,PHRF-SPIN-W/L,PHRF-SPIN-DISTANCE,ORC Document ID
338325857,BIGSANDWICH,,,,,,
338407934,AVIATO,,,,75,75,
311001551,HABIRU,USA 61124,27,27,21,21,230664
338441051,CHRISTOPHER DRAGON XII,ITA 2277,45,45,45,39,230712
338446443,VELOCITA,,,,75,75,
338477707,SURFACE TENSION,USA 52556,,,44,,216246
338480651,DELLA AURORA,USA 46726,30,30,33,21,229903
338490231,TOUCH OF GREY,USA 68750,,,,,221630
338519394,SILVER LINING,,,,57,57,
338538871,SKYFALL,,,,108,108,
367000140,SAMUEL I NEWHOUSE,,,,,,
367791550,FLYER,,,,,,
368057260,RUMBA,USA 61132,27,27,15,15,216510
368075770,RIKKI,NZL 8008,,,,,226630
368228860,EAGLE,USA 61121,,,,,230278
368365260,ASSARAIN IV,USA 58133,,,24,24,229873
368402520,IMAGINE,USA 108,90,90,84,84,228547
368356320,BLUEPRINT,USA 93254,,,,,220275
,OVERSPEED,USA 33077,,,,,237503
368402140,QUICK PULSE,USA 10033,,,,,237434
368179840,RELENTLESS III	,USA 30,,,,,237536
338237935,BLITZKRIEG,USA 52901,,,,,220384
368429230,EAGLE ONE,USA 777,,,,,237424
367483350,HELMI,USA 11772,,,,,237528
,HOOLIGAN (FLAT STANLEY),USA 1215,,,,,237504
338401653,IMPETUOUS,USA 4206,,,,,229484
338091761,OPTIONS,USA 94049,,,,,225153
338502416,BELLISSIMO,USA 501,,,,,237261
368304550,COCONUT,USA 444,,,,,237475
368375980,MARGOT,USA 43011,,,,,237428
368326860,SCOWLING DRAGON,USA 200,,,,,237376
368333560,VELOCITY,USA 145,,,,,223784
368061250,BELLA MENTE,USA 45,,,,,237529
368430560,CARA,USA 60,,,,,237480
338354604,MERIDIAN XI,USA 404,,,,,237502
,SYNERGY,,,,,,
