	8 	10 	12 	14 	16 	18 	20 	22 	24 	26 	28 	30 	32 	34 	36 	38 	40 	42 	44 	46 	48 	50 	52 	54 	56 	58 	60 	62 	64 	66 	68 	70 	72 	74 	76 	78 	80 	82 	84 	86 	88 	90 	92 	94 	96 	98 	100 	102 	104 	106 	108 	110 	112 	114 	116 	118 	120 	122 	124 	126 	128 	130 	132 	134 	136 	138 	140 	142 	144 	146 	148 	150 	152 	154 	156 	158 	160 	162 	164 	166 	168 	170 	172 	174 	176 	178 
26 																																																																																						
25 																																																																			A3 2025																			
24 																																																																				A3 2025																		
23 																																																																		A3 2025	A3 2025	A3 2025	A3 2025				A3 2025			A2 2023	A2 2023									
22 																																										J2 Reefed																					A3 2025		A3 2025	A3 2025	A3 2025						A2 2023			A2 2023	A2 2023		A2 2023		A2 2023					
21 																								J2 M/H 2025														J2 M/H 2025		J2 Reefed	J2 Reefed	J2	J2 Reefed	J2 Reefed	J2 Reefed					J2 Reefed									A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	Code 65	A3 2025	A3 2025	A2 2023		A2 2023	A2 2023	A2 2023	A2 2023	A2 2023	A2 2023	A2 2023			A2 2023				
20 							J1 Furling 2023									J2 M/H 2025	J2 M/H 2025	J2 M/H 2025											J1 L/M 2025					J1 L/M 2025	J1 L/M 2025	J2 M/H 2025		J2 Reefed		J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed			J2 Reefed						A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025		Code 65	A2 2023	A2 2023	A2 2023		A3 2025		A2 2023	A2 2023		A2 2023		A2 2023				
19 							J1 Furling 2023		J1 Furling 2023	J1 Furling 2023					J1 L/M 2025	J1 Furling 2023	J2 M/H 2025	J2 M/H 2025	J2	J1 L/M 2025	J2 M/H 2025		J2 M/H 2025			J2 M/H 2025							J2 Reefed		J2 M/H 2025		J2 Reefed	J2 Reefed		J2 Reefed	J1 Furling 2023	J2 Reefed	J2 Reefed	J2 Reefed		J2 Reefed	J2 Reefed	J1 Furling 2023	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed		J2 Reefed							A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	A3 2025	Code 65	A2 2023	Code 65	A2 2023	A2 2023		A2 2023	A2 2023	A2 2023									
18 									J1 Furling 2023					J1 L/M 2025	J2	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J1 L/M 2025	J1 L/M 2025		J2	J2		J2 M/H 2025										J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed	J2 Reefed		J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J2 Reefed	J2 Reefed	J2 Reefed	J1 Furling 2023	J1 Furling 2023		J1 Furling 2023		J2 Reefed					A3 2025	A3 2025	A3 2025	A3 2025	A2 2023	A2 2023	A2 2023	A2 2023	A3 2025	A3 2025			A2 2023	A2 2023	A2 2023	A2 2023	A2 2023	A2 2023						A2 2023		
17 										J1 Furling 2023			J1 L/M 2025	J1 L/M 2025	J1 L/M 2025	J1 L/M 2025	J2	J1 L/M 2025	J2	J2	J1 L/M 2025	J2 M/H 2025		J2	J2 M/H 2025										J2 Reefed			J1 Furling 2023	J2 Reefed	J1 Furling 2023	J2 Reefed	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023	J1 Furling 2023				J2 Reefed	J1 Furling 2023			A3 2025				A2 2023					Code 65		A3 2025		A2 2023		A2 2023		A2 2023		A2 2023	A2 2023	A2 2023		A2 2023	A2 2023	A2 2023						
